Account Name,Settle CCY,Swap ID,Reference Account ID,Settle Date,Cancel,ISIN,RIC,Security Description,Open Trade,Close Trade,Open Quantity,Close Quantity,Open Price,Close Price,Open Trade Value,Close Trade Value,Gross PnL,Open Commission,Close Commission,Net PnL
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,,CNE100001567,601567.SS,NINGBO SANXING MEDICAL ELECTRIC CO LTD C,523992002,531235757,(7400),7400,4.7013,4.8064,(34789.42),35567.09,(777.68),0.00,0.00,(777.68)
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,,CNE100001567,601567.SS,NINGBO SANXING MEDICAL ELECTRIC CO LTD C,519826207,531235757,(13500),13500,4.0112,4.8064,(54151.02),64885.92,(10734.90),0.00,0.00,(10734.90)
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,,CNE100001567,601567.SS,NINGBO SANXING MEDICAL ELECTRIC CO LTD C,521042018,531235757,(24200),24200,4.3301,4.8064,(104787.41),116314.01,(11526.60),0.00,0.00,(11526.60)
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,,CNE100001567,601567.SS,NINGBO SANXING MEDICAL ELECTRIC CO LTD C,518823324,531235757,(12500),12500,4.1291,4.8064,(51613.38),60079.55,(8466.17),0.00,0.00,(8466.17)
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,Cncelled,CNE100001567,601567.SS,NINGBO SANXING MEDICAL ELECTRIC CO LTD C,518823324,529902367,(12500),12500,4.1291,4.8064,(51613.38),60079.55,(8466.17),0.00,0.00,(8466.17)
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,Cncelled,CNE100001567,601567.SS,NINGBO SANXING MEDICAL ELECTRIC CO LTD C,521042018,529902367,(24200),24200,4.3301,4.8064,(104787.41),116314.01,(11526.59),0.00,0.00,(11526.59)
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,Cncelled,CNE100001567,601567.SS,NINGBO SANXING MEDICAL ELECTRIC CO LTD C,519826207,529902367,(13500),13500,4.0112,4.8064,(54151.02),64885.91,(10734.89),0.00,0.00,(10734.89)
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,Cncelled,CNE100001567,601567.SS,NINGBO SANXING MEDICAL ELECTRIC CO LTD C,517581442,529902367,(42700),42700,4.0317,4.8064,(172154.29),205231.74,(33077.45),0.00,0.00,(33077.45)
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,Cncelled,CNE100001567,601567.SS,NINGBO SANXING MEDICAL ELECTRIC CO LTD C,523992002,529902367,(7400),7400,4.7013,4.8064,(34789.42),35567.09,(777.68),0.00,0.00,(777.68)
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,Cancel,CNE100001567,601567.SS,NINGBO SANXING MEDICAL ELECTRIC CO LTD C,518823324,529902367,12500,(12500),4.1291,4.8064,51613.38,(60079.55),8466.17,0.00,0.00,8466.17
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,,CNE0000007H2,000629.SZ,PANGANG GROUP VANADIUM & TITANIUM RESOUR,479832843,531232545,(243200),243200,0.4339,0.4071,(105529.88),98997.87,6532.01,0.00,0.00,6532.01
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,Cncelled,CNE0000007H2,000629.SZ,PANGANG GROUP VANADIUM & TITANIUM RESOUR,479832843,529901871,(243200),243200,0.4339,0.4071,(105529.88),98997.86,6532.02,0.00,0.00,6532.02
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,Cancel,CNE0000007H2,000629.SZ,PANGANG GROUP VANADIUM & TITANIUM RESOUR,479832843,529901871,243200,(243200),0.4339,0.4071,105529.88,(98997.86),(6532.02),0.00,0.00,(6532.02)
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,,CNE100003423,300673.SZ,PETPAL PET NUTRITION TECHNOLOGY CO LTD C,528909991,529898795,122900,(122900),1.7301,1.9545,212633.58,(240205.50),27571.92,0.00,0.00,27571.92
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,,CNE1000053Q5,688316.SS,QINGCLOUD TECHNOLOGIES CORP COM STK CNY,527946171,529902373,21063,(21063),3.4217,4.6895,72071.89,(98774.71),26702.82,0.00,0.00,26702.82
ZENTIFIC CHINA OPP OFFSHORE FD,USD,530735,510029557,10/10/2024,,CNE100005B03,688331.SS,REMEGEN CO LTD COM STK CNY,520484342,529899030,(2337),2337,3.6495,4.7355,(8528.77),11066.94,(2538.17),0.00,0.00,(2538.17)
